FID,CODE,THEME,PAYS,IDUU,Shape_Le_1,Shape_Area,NOM,SUM_SUPERF,Shape_Leng,latitude,longitude,map_format
95,4200012,LA,SN, ddb13abe-76b7-4195-8762-5bdbc9e89fd,253252.620509,3058622466.6,Bouinguel Bamba,3058.6224666,253252.620509,13.961851775363021,-12.614228235526005,"13.961851775363021, -12.614228235526005"
96,4200012,LA,SN, fe89a2f8-ce74-46dd-9c1c-5fad2128336,199850.950037,1821382452.12,Bamba Tialène,1821.38245212,199850.950037,13.811996514936654,-14.544242731318564,"13.811996514936654, -14.544242731318564"
97,4200012,LA,SN, 6e8517fb-bd56-4c03-96a9-b5302358dd2,162133.428916,1125676819.24,Lour Escale,1125.67681924,162133.428916,14.32340247116868,-14.71619422617876,"14.32340247116868, -14.71619422617876"
98,4200012,LA,SN, f772a69f-9030-48dc-9c0c-306b162ebef,114159.521241,613658276.734,Médina Sabakh,613.658276734,114159.521241,13.691994720926605,-15.566826431614567,"13.691994720926605, -15.566826431614567"
99,4200012,LA,SN, cfc62370-0ebb-4c75-83ab-df1c586557f,134478.928198,1067667191.04,Sagna,1067.66719104,134478.928198,14.16142082944141,-15.272868375247484,"14.16142082944141, -15.272868375247484"
100,4200012,LA,SN, 1efc41ec-6f01-4f12-af55-3d9ae4c4314,169120.697724,1427136691.53,Gnibi,1427.13669153,169120.697724,14.323716844191251,-15.534994103621724,"14.323716844191251, -15.534994103621724"
101,4200012,LA,SN, 10439693-0f6f-4896-81bf-d3157c0b4d7,93857.6062339,526415370.343,Keur Mboucki,526.415370343,93857.6062339,14.167742674856012,-15.742534541652251,"14.167742674856012, -15.742534541652251"
102,4200012,LA,SN, 4d77c295-7cae-42a4-bd88-8e700d2f279,154458.263689,536293720.262,Nguélou,536.293720262,154458.263689,14.350332460498107,-15.888175618443023,"14.350332460498107, -15.888175618443023"
103,4200012,LA,SN, 8e684c79-0a58-412d-9b97-0cd37fe2094,0.0,0.0,Nguelou,0.0,0.0,,,
104,4200012,LA,SN, 09ebb9f2-36d3-476d-aa46-fe1c93a970a,144216.446594,1005418094.55,Paoscoto,1005.41809455,144216.446594,13.762628825553739,-15.834455639647109,"13.762628825553739, -15.834455639647109"
105,4200012,LA,SN, 14f9485b-8efa-40f4-b0b5-86edde0c189,282272.123271,2534245237.81,Orkadiéré,2534.24523781,282272.123271,14.948853940925602,-12.830851112300692,"14.948853940925602, -12.830851112300692"
106,4200012,LA,SN, 5dd43a45-6be2-4622-bf3f-34f29270fc7,658210.074324,14430220082.0,Vélingara,14430.220082,658210.074324,15.032052819166124,-14.132782012867361,"15.032052819166124, -14.132782012867361"
107,4200012,LA,SN, 2f6eae87-9232-4966-a60f-c56ef486341,237973.913711,2165288408.45,Mbane,2165.28840845,237973.913711,16.270542849933566,-15.5784136866819,"16.270542849933566, -15.5784136866819"
108,4200012,LA,SN, e20a9b0c-806c-41a6-92ae-1cbd531a5d8,273552.143382,2537171284.5,Dodji,2537.1712845,273552.143382,15.580131643303204,-14.93229671242967,"15.580131643303204, -14.93229671242967"
